key,text:it,ipa:it,audio:it,audio source:it,tags:it
ninety-two (92),,,,,AnkiLangs::IT
no,,,,,AnkiLangs::IT
November,,,,,AnkiLangs::IT
nuclear,,,,,AnkiLangs::IT
October,,,,,AnkiLangs::IT
oil,,,,,AnkiLangs::IT
"old [opposite of ""new""]",,,,,AnkiLangs::IT
"old [opposite of ""young""]",,,,,AnkiLangs::IT
one (1),,,,,AnkiLangs::IT
"one billion (1,000,000,000)",,,,,AnkiLangs::IT
one hundred (100),,,,,AnkiLangs::IT
one hundred eleven (111),,,,,AnkiLangs::IT
one hundred one (101),,,,,AnkiLangs::IT
one hundred ten (110),,,,,AnkiLangs::IT
"one hundred thousand (100,000)",,,,,AnkiLangs::IT
one hundred two (102),,,,,AnkiLangs::IT
"one million (1,000,000)",,,,,AnkiLangs::IT
one thousand (1000),,,,,AnkiLangs::IT
one thousand one (1001),,,,,AnkiLangs::IT
orange,arancione,/aranˈtʃone/,[sound:al_it_it_arancione.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-O,AnkiLangs::IT
pain,,,,,AnkiLangs::IT
peace,,,,,AnkiLangs::IT
pink,rosa,/ˈroza/,[sound:al_it_it_rosa.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-D,AnkiLangs::IT
plastic,,,,,AnkiLangs::IT
poison,,,,,AnkiLangs::IT
poor,,,,,AnkiLangs::IT
prison,,,,,AnkiLangs::IT
quiet,,,,,AnkiLangs::IT
race [ethnicity],,,,,AnkiLangs::IT
race [sport],,,,,AnkiLangs::IT
red,rosso,/ˈrosso/,[sound:al_it_it_rosso.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-O,AnkiLangs::IT
relationship,,,,,AnkiLangs::IT
religion,,,,,AnkiLangs::IT
rice,,,,,AnkiLangs::IT
rich,,,,,AnkiLangs::IT
right,,,,,AnkiLangs::IT
sad,,,,,AnkiLangs::IT
salt,,,,,AnkiLangs::IT
Saturday,,,,,AnkiLangs::IT
science,,,,,AnkiLangs::IT
second (2nd),,,,,AnkiLangs::IT
September,,,,,AnkiLangs::IT
seven (7),,,,,AnkiLangs::IT
seventeen (17),,,,,AnkiLangs::IT
seventy (70),,,,,AnkiLangs::IT
seventy-one (71),,,,,AnkiLangs::IT
seventy-two (72),,,,,AnkiLangs::IT
sex [gender],,,,,AnkiLangs::IT
sex [the act],,,,,AnkiLangs::IT
shallow,,,,,AnkiLangs::IT
she,,,,,AnkiLangs::IT
"short [opposite of ""long""]",,,,,AnkiLangs::IT
"short [opposite of ""tall""]",,,,,AnkiLangs::IT
sick,,,,,AnkiLangs::IT
silver,,,,,AnkiLangs::IT
six (6),,,,,AnkiLangs::IT
sixteen (16),,,,,AnkiLangs::IT
sixty (60),,,,,AnkiLangs::IT
sixty-one (61),,,,,AnkiLangs::IT
sixty-two (62),,,,,AnkiLangs::IT
slow,,,,,AnkiLangs::IT
small / little,,,,,AnkiLangs::IT
soft,,,,,AnkiLangs::IT
soil/earth [ground],,,,,AnkiLangs::IT
space (outer space),lo spazio,/lo ˈspatt͡sjo/,[sound:al_it_it_lo_spazio.mp3],Google Cloud TTS,AnkiLangs::IT
sport,,,,,AnkiLangs::IT
stone,,,,,AnkiLangs::IT
straight,,,,,AnkiLangs::IT
strong,,,,,AnkiLangs::IT
sugar,,,,,AnkiLangs::IT
Sunday,,,,,AnkiLangs::IT
sweat,,,,,AnkiLangs::IT
tall,,,,,AnkiLangs::IT
tea,,,,,AnkiLangs::IT
technology,,,,,AnkiLangs::IT
temperature,,,,,AnkiLangs::IT
ten (10),,,,,AnkiLangs::IT
"ten thousand (10,000)",,,,,AnkiLangs::IT
the (train) ticket,il biglietto (del treno),/il biʎˈʎetto (del ˈtreno)/,[sound:al_it_it_il_biglietto_del_treno.mp3],Google Cloud TTS,AnkiLangs::IT
the actor,,,,,AnkiLangs::IT
the adjective,,,,,AnkiLangs::IT
the adult,l'adulto,/laˈdul.to/,[sound:al_it_it_l_adulto.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-O,AnkiLangs::IT
the afternoon,,,,,AnkiLangs::IT
the air,,,,,AnkiLangs::IT
the airport,l'aeroporto,/laeroˈpɔrto/,[sound:al_it_it_l_aeroporto.mp3],Google Cloud TTS,AnkiLangs::IT
the animal,l'animale,/laniˈmale/,[sound:al_it_it_l_animale.mp3],Google Cloud TTS,AnkiLangs::IT
the apartment,l'appartamento,/lapːartaˈmento/,[sound:al_it_it_l_appartamento.mp3],Google Cloud TTS,AnkiLangs::IT
the apple,,,,,AnkiLangs::IT
the arm,,,,,AnkiLangs::IT
the army,,,,,AnkiLangs::IT
the artist,,,,,AnkiLangs::IT
the attack,,,,,AnkiLangs::IT
the author,,,,,AnkiLangs::IT
the baby,il bebè,/il beˈbɛ/,[sound:al_it_it_il_beb.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-D,AnkiLangs::IT
the back [anatomy],,,,,AnkiLangs::IT
the back [location],,,,,AnkiLangs::IT
the bag,,,,,AnkiLangs::IT
the ball,,,,,AnkiLangs::IT
the banana,,,,,AnkiLangs::IT
the band [music],,,,,AnkiLangs::IT
the bank,la banca,/la ˈbanka/,[sound:al_it_it_la_banca.mp3],Google Cloud TTS,AnkiLangs::IT
the bar,il bar,/il ˈbar/,[sound:al_it_it_il_bar.mp3],Google Cloud TTS,AnkiLangs::IT
the bathroom,,,,,AnkiLangs::IT
the beach,,,,,AnkiLangs::IT
the beard,,,,,AnkiLangs::IT
the bed,,,,,AnkiLangs::IT
the bedroom,,,,,AnkiLangs::IT
the beef,,,,,AnkiLangs::IT
the beverage,,,,,AnkiLangs::IT
the bicycle,la bicicletta,/la bitʃiˈkletta/,[sound:al_it_it_la_bicicletta.mp3],Google Cloud TTS,AnkiLangs::IT
the bill [bank note],,,,,AnkiLangs::IT
the bird,l'uccello,/luˈtʃɛllo/,[sound:al_it_it_l_uccello.mp3],Google Cloud TTS,AnkiLangs::IT
the boat,la barca,/la ˈbarka/,[sound:al_it_it_la_barca.mp3],Google Cloud TTS,AnkiLangs::IT
the body,,,,,AnkiLangs::IT
the bone,,,,,AnkiLangs::IT
the book,,,,,AnkiLangs::IT
the bottle,,,,,AnkiLangs::IT
the bottom,,,,,AnkiLangs::IT
the box,,,,,AnkiLangs::IT
the boy,il ragazzo,/il raˈɡat.tso/,[sound:al_it_it_il_ragazzo.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-D,AnkiLangs::IT
the brain,,,,,AnkiLangs::IT
the bread,,,,,AnkiLangs::IT
the bridge,il ponte,/il ˈponte/,[sound:al_it_it_il_ponte.mp3],Google Cloud TTS,AnkiLangs::IT
the brother,il fratello,/il fraˈtɛl.lo/,[sound:al_it_it_il_fratello.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-O,AnkiLangs::IT
the building,l'edificio,/lediˈfiːtʃo/,[sound:al_it_it_l_edificio.mp3],Google Cloud TTS,AnkiLangs::IT
the bus,l'autobus,/ˈlautoˌbus/,[sound:al_it_it_l_autobus.mp3],Google Cloud TTS,AnkiLangs::IT
the cake,,,,,AnkiLangs::IT
the camera,,,,,AnkiLangs::IT
the camp,il campeggio,/il kamˈpedʒːo/,[sound:al_it_it_il_campeggio.mp3],Google Cloud TTS,AnkiLangs::IT
the car,la macchina,/la ˈmakːina/,[sound:al_it_it_la_macchina.mp3],Google Cloud TTS,AnkiLangs::IT
the card,,,,,AnkiLangs::IT
the cat,il gatto,/il ˈɡatto/,[sound:al_it_it_il_gatto.mp3],Google Cloud TTS,AnkiLangs::IT
the ceiling,,,,,AnkiLangs::IT
the cell phone,,,,,AnkiLangs::IT
the centimeter,,,,,AnkiLangs::IT
the chair,,,,,AnkiLangs::IT
the cheese,,,,,AnkiLangs::IT
the chicken,,,,,AnkiLangs::IT
