key,text:it,ipa:it,audio:it,audio source:it,tags:it
left,,,,,AnkiLangs::IT
"light [opposite of ""dark""]",,,,,AnkiLangs::IT
"light [opposite of ""heavy""]",,,,,AnkiLangs::IT
light blue,azzurro chiaro,/adˈdzurro ˈkjaro/,[sound:al_it_it_azzurro_chiaro.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-O,AnkiLangs::IT
long,,,,,AnkiLangs::IT
loose,,,,,AnkiLangs::IT
loud,,,,,AnkiLangs::IT
low,,,,,AnkiLangs::IT
lunch,,,,,AnkiLangs::IT
male,,,,,AnkiLangs::IT
March,,,,,AnkiLangs::IT
marriage,,,,,AnkiLangs::IT
material,,,,,AnkiLangs::IT
May,,,,,AnkiLangs::IT
mean,,,,,AnkiLangs::IT
medicine,,,,,AnkiLangs::IT
metal,,,,,AnkiLangs::IT
milk,,,,,AnkiLangs::IT
Monday,,,,,AnkiLangs::IT
money,,,,,AnkiLangs::IT
murder,,,,,AnkiLangs::IT
music,,,,,AnkiLangs::IT
narrow,,,,,AnkiLangs::IT
nature,,,,,AnkiLangs::IT
new,,,,,AnkiLangs::IT
nice,,,,,AnkiLangs::IT
nine (9),,,,,AnkiLangs::IT
nineteen (19),,,,,AnkiLangs::IT
ninety (90),,,,,AnkiLangs::IT
ninety-one (91),,,,,AnkiLangs::IT
