key,text:sq,ipa:sq,audio:sq,audio source:sq,tags:sq
the pool,,,,,AnkiLangs::SQ
the lock,,,,,AnkiLangs::SQ
the telephone,,,,,AnkiLangs::SQ
the garden,,,,,AnkiLangs::SQ
the yard,,,,,AnkiLangs::SQ
the needle,,,,,AnkiLangs::SQ
the bag,,,,,AnkiLangs::SQ
the box,,,,,AnkiLangs::SQ
the gift,,,,,AnkiLangs::SQ
the card,,,,,AnkiLangs::SQ
the ring,,,,,AnkiLangs::SQ
the tool,,,,,AnkiLangs::SQ
the clock,,,,,AnkiLangs::SQ
the lamp,,,,,AnkiLangs::SQ
the fan [appliance],,,,,AnkiLangs::SQ
the cell phone,,,,,AnkiLangs::SQ
the network,,,,,AnkiLangs::SQ
the computer,,,,,AnkiLangs::SQ
the program,,,,,AnkiLangs::SQ
the laptop,,,,,AnkiLangs::SQ
the screen,,,,,AnkiLangs::SQ
the camera,,,,,AnkiLangs::SQ
the television,,,,,AnkiLangs::SQ
the radio,,,,,AnkiLangs::SQ
the head,,,,,AnkiLangs::SQ
the neck,,,,,AnkiLangs::SQ
the face,,,,,AnkiLangs::SQ
the beard,,,,,AnkiLangs::SQ
the hair,,,,,AnkiLangs::SQ
the eye,,,,,AnkiLangs::SQ
the mouth,,,,,AnkiLangs::SQ
the lip,,,,,AnkiLangs::SQ
the nose,,,,,AnkiLangs::SQ
the tooth,,,,,AnkiLangs::SQ
the ear,,,,,AnkiLangs::SQ
the tear,,,,,AnkiLangs::SQ
the tongue,,,,,AnkiLangs::SQ
the back [anatomy],,,,,AnkiLangs::SQ
the toe,,,,,AnkiLangs::SQ
the finger,,,,,AnkiLangs::SQ
the foot,,,,,AnkiLangs::SQ
the hand,,,,,AnkiLangs::SQ
the leg,,,,,AnkiLangs::SQ
the arm,,,,,AnkiLangs::SQ
the shoulder,,,,,AnkiLangs::SQ
the heart,,,,,AnkiLangs::SQ
blood,,,,,AnkiLangs::SQ
the brain,,,,,AnkiLangs::SQ
the knee,,,,,AnkiLangs::SQ
sweat,,,,,AnkiLangs::SQ
disease,,,,,AnkiLangs::SQ
the bone,,,,,AnkiLangs::SQ
the voice,,,,,AnkiLangs::SQ
the skin,,,,,AnkiLangs::SQ
the body,,,,,AnkiLangs::SQ
the sea,,,,,AnkiLangs::SQ
the ocean,,,,,AnkiLangs::SQ
the river,,,,,AnkiLangs::SQ
the mountain,,,,,AnkiLangs::SQ
the rain,,,,,AnkiLangs::SQ
the snow,,,,,AnkiLangs::SQ
the tree,,,,,AnkiLangs::SQ
the sun,,,,,AnkiLangs::SQ
the moon,,,,,AnkiLangs::SQ
the world,,,,,AnkiLangs::SQ
the forest,,,,,AnkiLangs::SQ
the sky,,,,,AnkiLangs::SQ
the plant,,,,,AnkiLangs::SQ
the wind,,,,,AnkiLangs::SQ
soil/earth [ground],,,,,AnkiLangs::SQ
the flower,,,,,AnkiLangs::SQ
the valley,,,,,AnkiLangs::SQ
the root,,,,,AnkiLangs::SQ
the lake,,,,,AnkiLangs::SQ
the star,,,,,AnkiLangs::SQ
the grass,,,,,AnkiLangs::SQ
the leaf,,,,,AnkiLangs::SQ
the air,,,,,AnkiLangs::SQ
the sand,,,,,AnkiLangs::SQ
the beach,,,,,AnkiLangs::SQ
the wave,,,,,AnkiLangs::SQ
the fire,,,,,AnkiLangs::SQ
the ice,,,,,AnkiLangs::SQ
the island,,,,,AnkiLangs::SQ
the hill,,,,,AnkiLangs::SQ
the heat,,,,,AnkiLangs::SQ
nature,,,,,AnkiLangs::SQ
glass,,,,,AnkiLangs::SQ
metal,,,,,AnkiLangs::SQ
plastic,,,,,AnkiLangs::SQ
wood,,,,,AnkiLangs::SQ
stone,,,,,AnkiLangs::SQ
diamond,,,,,AnkiLangs::SQ
clay,,,,,AnkiLangs::SQ
dust,,,,,AnkiLangs::SQ
gold,,,,,AnkiLangs::SQ
copper,,,,,AnkiLangs::SQ
silver,,,,,AnkiLangs::SQ
material,,,,,AnkiLangs::SQ
the meter,,,,,AnkiLangs::SQ
the centimeter,,,,,AnkiLangs::SQ
the kilogram,,,,,AnkiLangs::SQ
the inch,,,,,AnkiLangs::SQ
the foot [measurement],,,,,AnkiLangs::SQ
the pound,,,,,AnkiLangs::SQ
the half,,,,,AnkiLangs::SQ
the circle,,,,,AnkiLangs::SQ
the square,,,,,AnkiLangs::SQ
temperature,,,,,AnkiLangs::SQ
the date,,,,,AnkiLangs::SQ
weight,,,,,AnkiLangs::SQ
the edge,,,,,AnkiLangs::SQ
the corner,,,,,AnkiLangs::SQ
the map,,,,,AnkiLangs::SQ
the dot,,,,,AnkiLangs::SQ
the consonant,,,,,AnkiLangs::SQ
the vowel,,,,,AnkiLangs::SQ
the light,,,,,AnkiLangs::SQ
the sound,,,,,AnkiLangs::SQ
yes,,,,,AnkiLangs::SQ
no,,,,,AnkiLangs::SQ
the piece,,,,,AnkiLangs::SQ
pain,,,,,AnkiLangs::SQ
the injury,,,,,AnkiLangs::SQ
the hole,,,,,AnkiLangs::SQ
the image,,,,,AnkiLangs::SQ
the pattern,,,,,AnkiLangs::SQ
the noun,,,,,AnkiLangs::SQ
the verb,,,,,AnkiLangs::SQ
the adjective,,,,,AnkiLangs::SQ
the top,,,,,AnkiLangs::SQ
the bottom,,,,,AnkiLangs::SQ
the side,,,,,AnkiLangs::SQ
the front,,,,,AnkiLangs::SQ
the back [location],,,,,AnkiLangs::SQ
the outside,,,,,AnkiLangs::SQ
the inside,,,,,AnkiLangs::SQ
up,,,,,AnkiLangs::SQ
down,,,,,AnkiLangs::SQ
left,,,,,AnkiLangs::SQ
right,,,,,AnkiLangs::SQ
straight,,,,,AnkiLangs::SQ
the north,,,,,AnkiLangs::SQ
the south,,,,,AnkiLangs::SQ
the east,,,,,AnkiLangs::SQ
the west,,,,,AnkiLangs::SQ
the direction,,,,,AnkiLangs::SQ
the Summer,,,,,AnkiLangs::SQ
the Spring,,,,,AnkiLangs::SQ
the Winter,,,,,AnkiLangs::SQ
the Fall,,,,,AnkiLangs::SQ
the season,,,,,AnkiLangs::SQ
one (1),,,,,AnkiLangs::SQ
two (2),,,,,AnkiLangs::SQ
three (3),,,,,AnkiLangs::SQ
four (4),,,,,AnkiLangs::SQ
five (5),,,,,AnkiLangs::SQ
six (6),,,,,AnkiLangs::SQ
seven (7),,,,,AnkiLangs::SQ
eight (8),,,,,AnkiLangs::SQ
nine (9),,,,,AnkiLangs::SQ
ten (10),,,,,AnkiLangs::SQ
eleven (11),,,,,AnkiLangs::SQ
twelve (12),,,,,AnkiLangs::SQ
thirteen (13),,,,,AnkiLangs::SQ
fourteen (14),,,,,AnkiLangs::SQ
fifteen (15),,,,,AnkiLangs::SQ
sixteen (16),,,,,AnkiLangs::SQ
seventeen (17),,,,,AnkiLangs::SQ
eighteen (18),,,,,AnkiLangs::SQ
nineteen (19),,,,,AnkiLangs::SQ
twenty (20),,,,,AnkiLangs::SQ
twenty-one (21),,,,,AnkiLangs::SQ
twenty-two (22),,,,,AnkiLangs::SQ
thirty (30),,,,,AnkiLangs::SQ
thirty-one (31),,,,,AnkiLangs::SQ
thirty-two (32),,,,,AnkiLangs::SQ
forty (40),,,,,AnkiLangs::SQ
forty-one (41),,,,,AnkiLangs::SQ
forty-two (42),,,,,AnkiLangs::SQ
fifty (50),,,,,AnkiLangs::SQ
fifty-one (51),,,,,AnkiLangs::SQ
fifty-two (52),,,,,AnkiLangs::SQ
sixty (60),,,,,AnkiLangs::SQ
sixty-one (61),,,,,AnkiLangs::SQ
sixty-two (62),,,,,AnkiLangs::SQ
seventy (70),,,,,AnkiLangs::SQ
seventy-one (71),,,,,AnkiLangs::SQ
seventy-two (72),,,,,AnkiLangs::SQ
eighty (80),,,,,AnkiLangs::SQ
eighty-one (81),,,,,AnkiLangs::SQ
eighty-two (82),,,,,AnkiLangs::SQ
ninety (90),,,,,AnkiLangs::SQ
ninety-one (91),,,,,AnkiLangs::SQ
ninety-two (92),,,,,AnkiLangs::SQ
one hundred (100),,,,,AnkiLangs::SQ
one hundred one (101),,,,,AnkiLangs::SQ
one hundred two (102),,,,,AnkiLangs::SQ
one hundred ten (110),,,,,AnkiLangs::SQ
one hundred eleven (111),,,,,AnkiLangs::SQ
one thousand (1000),,,,,AnkiLangs::SQ
one thousand one (1001),,,,,AnkiLangs::SQ
"ten thousand (10,000)",,,,,AnkiLangs::SQ
"one hundred thousand (100,000)",,,,,AnkiLangs::SQ
"one million (1,000,000)",,,,,AnkiLangs::SQ
"one billion (1,000,000,000)",,,,,AnkiLangs::SQ
first (1st),,,,,AnkiLangs::SQ
second (2nd),,,,,AnkiLangs::SQ
third (3rd),,,,,AnkiLangs::SQ
fourth (4th),,,,,AnkiLangs::SQ
fifth (5th),,,,,AnkiLangs::SQ
the number,,,,,AnkiLangs::SQ
January,Janar,/jaˈnaɾ/,,,AnkiLangs::SQ
February,Shkurt,/ʃkuɾt/,,,AnkiLangs::SQ
March,Mars,/maɾs/,,,AnkiLangs::SQ
April,Prill,/pɾiɫ/,,,AnkiLangs::SQ
May,Maj,/maj/,,,AnkiLangs::SQ
June,Qershor,/cɛɾˈʃɔɾ/,,,AnkiLangs::SQ
July,Korrik,/kɔˈrik/,,,AnkiLangs::SQ
August,Gusht,/ɡuʃt/,,,AnkiLangs::SQ
September,Shtator,/ʃtaˈtɔɾ/,,,AnkiLangs::SQ
October,Tetor,/tɛˈtɔɾ/,,,AnkiLangs::SQ
November,Nëntor,/nənˈtɔɾ/,,,AnkiLangs::SQ
December,Dhjetor,/ðɛˈtɔɾ/,,,AnkiLangs::SQ
Monday,e hënë,/ɛ ˈhənə/,,,AnkiLangs::SQ
Tuesday,e martë,/ɛ ˈmaɾtə/,,,AnkiLangs::SQ
Wednesday,e mërkurë,/ɛ məɾˈkuɾə/,,,AnkiLangs::SQ
Thursday,e enjte,/ɛ ˈɛɲtɛ/,,,AnkiLangs::SQ
Friday,e premte,/ɛ ˈpɾɛmtɛ/,,,AnkiLangs::SQ
Saturday,e shtunë,/ɛ ˈʃtunə/,,,AnkiLangs::SQ
Sunday,e diel,/ɛ ˈdiɛl/,,,AnkiLangs::SQ
the year,,,,,AnkiLangs::SQ
the month,,,,,AnkiLangs::SQ
the week,,,,,AnkiLangs::SQ
the day,,,,,AnkiLangs::SQ
the hour,,,,,AnkiLangs::SQ
the minute,,,,,AnkiLangs::SQ
the second,,,,,AnkiLangs::SQ
the morning,,,,,AnkiLangs::SQ
the afternoon,,,,,AnkiLangs::SQ
the evening,,,,,AnkiLangs::SQ
the night,,,,,AnkiLangs::SQ
the time,,,,,AnkiLangs::SQ
to work,,,,,AnkiLangs::SQ
to play,,,,,AnkiLangs::SQ
to walk,,,,,AnkiLangs::SQ
to run,,,,,AnkiLangs::SQ
to drive,,,,,AnkiLangs::SQ
to fly,,,,,AnkiLangs::SQ
to swim,,,,,AnkiLangs::SQ
to go,,,,,AnkiLangs::SQ
to stop,,,,,AnkiLangs::SQ
to follow,,,,,AnkiLangs::SQ
to think,,,,,AnkiLangs::SQ
to speak / to say,,,,,AnkiLangs::SQ
to eat,,,,,AnkiLangs::SQ
