key,text:nb,ipa:nb,audio:nb,audio source:nb,tags:nb
the root,,,,,AnkiLangs::NB
the sand,,,,,AnkiLangs::NB
the school,,,,,AnkiLangs::NB
the screen,,,,,AnkiLangs::NB
the sea,,,,,AnkiLangs::NB
the season,,,,,AnkiLangs::NB
the second,,,,,AnkiLangs::NB
the secretary,,,,,AnkiLangs::NB
the seed,,,,,AnkiLangs::NB
the ship,,,,,AnkiLangs::NB
the shirt,,,,,AnkiLangs::NB
the shoes,,,,,AnkiLangs::NB
the shoulder,,,,,AnkiLangs::NB
the side,,,,,AnkiLangs::NB
the sign,,,,,AnkiLangs::NB
the sister,,,,,AnkiLangs::NB
the skin,,,,,AnkiLangs::NB
the skirt,,,,,AnkiLangs::NB
the sky,,,,,AnkiLangs::NB
the snow,,,,,AnkiLangs::NB
the soap,,,,,AnkiLangs::NB
the soldier,,,,,AnkiLangs::NB
the son,,,,,AnkiLangs::NB
the song,,,,,AnkiLangs::NB
the sound,,,,,AnkiLangs::NB
the soup,,,,,AnkiLangs::NB
the south,,,,,AnkiLangs::NB
the spoon,,,,,AnkiLangs::NB
the Spring,,,,,AnkiLangs::NB
the square,,,,,AnkiLangs::NB
the stain,,,,,AnkiLangs::NB
the star,,,,,AnkiLangs::NB
the store/shop,,,,,AnkiLangs::NB
the street/road,,,,,AnkiLangs::NB
the student,,,,,AnkiLangs::NB
the suit,,,,,AnkiLangs::NB
the Summer,,,,,AnkiLangs::NB
the sun,,,,,AnkiLangs::NB
the T-shirt,,,,,AnkiLangs::NB
the table,,,,,AnkiLangs::NB
the teacher,,,,,AnkiLangs::NB
the team,,,,,AnkiLangs::NB
the tear,,,,,AnkiLangs::NB
the telephone,,,,,AnkiLangs::NB
the television,,,,,AnkiLangs::NB
the theater,,,,,AnkiLangs::NB
the time,,,,,AnkiLangs::NB
the tire,,,,,AnkiLangs::NB
the toe,,,,,AnkiLangs::NB
the tongue,,,,,AnkiLangs::NB
the tool,,,,,AnkiLangs::NB
the tooth,,,,,AnkiLangs::NB
the top,,,,,AnkiLangs::NB
the town,,,,,AnkiLangs::NB
the train,,,,,AnkiLangs::NB
the train station,,,,,AnkiLangs::NB
the tree,,,,,AnkiLangs::NB
the truck,,,,,AnkiLangs::NB
the university,,,,,AnkiLangs::NB
the valley,,,,,AnkiLangs::NB
the verb,,,,,AnkiLangs::NB
the victim,,,,,AnkiLangs::NB
the voice,,,,,AnkiLangs::NB
the vowel,,,,,AnkiLangs::NB
the waiter,,,,,AnkiLangs::NB
the wall,,,,,AnkiLangs::NB
the wave,,,,,AnkiLangs::NB
the week,,,,,AnkiLangs::NB
the west,,,,,AnkiLangs::NB
the wife,,,,,AnkiLangs::NB
the wind,,,,,AnkiLangs::NB
the window,,,,,AnkiLangs::NB
the wing,,,,,AnkiLangs::NB
the Winter,,,,,AnkiLangs::NB
the woman,,,,,AnkiLangs::NB
the world,,,,,AnkiLangs::NB
the yard,,,,,AnkiLangs::NB
the year,,,,,AnkiLangs::NB
they,,,,,AnkiLangs::NB
thick,,,,,AnkiLangs::NB
thin,,,,,AnkiLangs::NB
third (3rd),,,,,AnkiLangs::NB
thirteen (13),,,,,AnkiLangs::NB
thirty (30),,,,,AnkiLangs::NB
thirty-one (31),,,,,AnkiLangs::NB
thirty-two (32),,,,,AnkiLangs::NB
three (3),,,,,AnkiLangs::NB
Thursday,,,,,AnkiLangs::NB
tight,,,,,AnkiLangs::NB
to beat,,,,,AnkiLangs::NB
to bend,,,,,AnkiLangs::NB
to break,,,,,AnkiLangs::NB
to build,,,,,AnkiLangs::NB
to burn,,,,,AnkiLangs::NB
to buy,,,,,AnkiLangs::NB
to call,,,,,AnkiLangs::NB
to carry,,,,,AnkiLangs::NB
to catch,,,,,AnkiLangs::NB
to clean,,,,,AnkiLangs::NB
to close,,,,,AnkiLangs::NB
to cook,,,,,AnkiLangs::NB
to count,,,,,AnkiLangs::NB
to cry,,,,,AnkiLangs::NB
to cut,,,,,AnkiLangs::NB
to dance,,,,,AnkiLangs::NB
to die,,,,,AnkiLangs::NB
to dig,,,,,AnkiLangs::NB
to draw,,,,,AnkiLangs::NB
to drink,,,,,AnkiLangs::NB
to drive,,,,,AnkiLangs::NB
to eat,,,,,AnkiLangs::NB
to explode,,,,,AnkiLangs::NB
to fall,,,,,AnkiLangs::NB
to feed,,,,,AnkiLangs::NB
to fight,,,,,AnkiLangs::NB
to find,,,,,AnkiLangs::NB
to fly,,,,,AnkiLangs::NB
to follow,,,,,AnkiLangs::NB
to go,,,,,AnkiLangs::NB
to grow,,,,,AnkiLangs::NB
to hang,,,,,AnkiLangs::NB
to hear,,,,,AnkiLangs::NB
to jump,,,,,AnkiLangs::NB
to kill,,,,,AnkiLangs::NB
to kiss,,,,,AnkiLangs::NB
to laugh,,,,,AnkiLangs::NB
to learn,,,,,AnkiLangs::NB
to lie down,,,,,AnkiLangs::NB
to lift,,,,,AnkiLangs::NB
to listen,,,,,AnkiLangs::NB
to lose,,,,,AnkiLangs::NB
to love,,,,,AnkiLangs::NB
to marry,,,,,AnkiLangs::NB
to melt,,,,,AnkiLangs::NB
to mix / to stir,,,,,AnkiLangs::NB
to open,,,,,AnkiLangs::NB
to pass by,,,,,AnkiLangs::NB
to pay,,,,,AnkiLangs::NB
to play,,,,,AnkiLangs::NB
to pray,,,,,AnkiLangs::NB
to pull,,,,,AnkiLangs::NB
to push,,,,,AnkiLangs::NB
to run,,,,,AnkiLangs::NB
to see,,,,,AnkiLangs::NB
to sell,,,,,AnkiLangs::NB
to shake,,,,,AnkiLangs::NB
to shoot (a gun),,,,,AnkiLangs::NB
to sign,,,,,AnkiLangs::NB
to sing,,,,,AnkiLangs::NB
to sit,,,,,AnkiLangs::NB
to sleep,,,,,AnkiLangs::NB
to smell,,,,,AnkiLangs::NB
to smile,,,,,AnkiLangs::NB
to speak / to say,,,,,AnkiLangs::NB
to stand,,,,,AnkiLangs::NB
to stop,,,,,AnkiLangs::NB
to swim,,,,,AnkiLangs::NB
to taste,,,,,AnkiLangs::NB
to teach,,,,,AnkiLangs::NB
to think,,,,,AnkiLangs::NB
to throw,,,,,AnkiLangs::NB
to touch,,,,,AnkiLangs::NB
to turn,,,,,AnkiLangs::NB
to wake up,,,,,AnkiLangs::NB
to walk,,,,,AnkiLangs::NB
to wash,,,,,AnkiLangs::NB
to watch,,,,,AnkiLangs::NB
to wear,,,,,AnkiLangs::NB
to win,,,,,AnkiLangs::NB
to work,,,,,AnkiLangs::NB
to write,,,,,AnkiLangs::NB
transportation,,,,,AnkiLangs::NB
Tuesday,,,,,AnkiLangs::NB
twelve (12),,,,,AnkiLangs::NB
twenty (20),,,,,AnkiLangs::NB
twenty-one (21),,,,,AnkiLangs::NB
twenty-two (22),,,,,AnkiLangs::NB
two (2),,,,,AnkiLangs::NB
ugly,,,,,AnkiLangs::NB
up,,,,,AnkiLangs::NB
war,,,,,AnkiLangs::NB
warm,,,,,AnkiLangs::NB
water,,,,,AnkiLangs::NB
we,,,,,AnkiLangs::NB
weak,,,,,AnkiLangs::NB
wedding,,,,,AnkiLangs::NB
Wednesday,,,,,AnkiLangs::NB
weight,,,,,AnkiLangs::NB
wet,,,,,AnkiLangs::NB
white,,,,,AnkiLangs::NB
wide,,,,,AnkiLangs::NB
wine,,,,,AnkiLangs::NB
wood,,,,,AnkiLangs::NB
yellow,,,,,AnkiLangs::NB
yes,,,,,AnkiLangs::NB
"you [plural, y'all]",,,,,AnkiLangs::NB
you [singular],,,,,AnkiLangs::NB
young,,,,,AnkiLangs::NB
