key,text:la,ipa:la,audio:la,audio source:la,tags:la
material,,,,,AnkiLangs::LA
the meter,,,,,AnkiLangs::LA
the centimeter,,,,,AnkiLangs::LA
the kilogram,,,,,AnkiLangs::LA
the inch,,,,,AnkiLangs::LA
the foot [measurement],,,,,AnkiLangs::LA
the pound,,,,,AnkiLangs::LA
the half,,,,,AnkiLangs::LA
the circle,,,,,AnkiLangs::LA
the square,,,,,AnkiLangs::LA
temperature,,,,,AnkiLangs::LA
the date,,,,,AnkiLangs::LA
weight,,,,,AnkiLangs::LA
the edge,,,,,AnkiLangs::LA
the corner,,,,,AnkiLangs::LA
the map,,,,,AnkiLangs::LA
the dot,,,,,AnkiLangs::LA
the consonant,,,,,AnkiLangs::LA
the vowel,,,,,AnkiLangs::LA
the light,,,,,AnkiLangs::LA
the sound,,,,,AnkiLangs::LA
yes,,,,,AnkiLangs::LA
no,,,,,AnkiLangs::LA
the piece,,,,,AnkiLangs::LA
pain,,,,,AnkiLangs::LA
the injury,,,,,AnkiLangs::LA
the hole,,,,,AnkiLangs::LA
the image,,,,,AnkiLangs::LA
the pattern,,,,,AnkiLangs::LA
the noun,,,,,AnkiLangs::LA
the verb,,,,,AnkiLangs::LA
the adjective,,,,,AnkiLangs::LA
the top,,,,,AnkiLangs::LA
the bottom,,,,,AnkiLangs::LA
the side,,,,,AnkiLangs::LA
the front,,,,,AnkiLangs::LA
the back [location],,,,,AnkiLangs::LA
the outside,,,,,AnkiLangs::LA
the inside,,,,,AnkiLangs::LA
up,,,,,AnkiLangs::LA
down,,,,,AnkiLangs::LA
left,,,,,AnkiLangs::LA
right,,,,,AnkiLangs::LA
straight,,,,,AnkiLangs::LA
the north,,,,,AnkiLangs::LA
the south,,,,,AnkiLangs::LA
the east,,,,,AnkiLangs::LA
the west,,,,,AnkiLangs::LA
the direction,,,,,AnkiLangs::LA
the Summer,,,,,AnkiLangs::LA
the Spring,,,,,AnkiLangs::LA
the Winter,,,,,AnkiLangs::LA
the Fall,,,,,AnkiLangs::LA
the season,,,,,AnkiLangs::LA
one (1),,,,,AnkiLangs::LA
two (2),,,,,AnkiLangs::LA
three (3),,,,,AnkiLangs::LA
four (4),,,,,AnkiLangs::LA
five (5),,,,,AnkiLangs::LA
six (6),,,,,AnkiLangs::LA
seven (7),,,,,AnkiLangs::LA
eight (8),,,,,AnkiLangs::LA
nine (9),,,,,AnkiLangs::LA
ten (10),,,,,AnkiLangs::LA
eleven (11),,,,,AnkiLangs::LA
twelve (12),,,,,AnkiLangs::LA
thirteen (13),,,,,AnkiLangs::LA
fourteen (14),,,,,AnkiLangs::LA
fifteen (15),,,,,AnkiLangs::LA
sixteen (16),,,,,AnkiLangs::LA
seventeen (17),,,,,AnkiLangs::LA
eighteen (18),,,,,AnkiLangs::LA
nineteen (19),,,,,AnkiLangs::LA
twenty (20),,,,,AnkiLangs::LA
twenty-one (21),,,,,AnkiLangs::LA
twenty-two (22),,,,,AnkiLangs::LA
thirty (30),,,,,AnkiLangs::LA
thirty-one (31),,,,,AnkiLangs::LA
thirty-two (32),,,,,AnkiLangs::LA
forty (40),,,,,AnkiLangs::LA
forty-one (41),,,,,AnkiLangs::LA
forty-two (42),,,,,AnkiLangs::LA
fifty (50),,,,,AnkiLangs::LA
fifty-one (51),,,,,AnkiLangs::LA
fifty-two (52),,,,,AnkiLangs::LA
sixty (60),,,,,AnkiLangs::LA
sixty-one (61),,,,,AnkiLangs::LA
sixty-two (62),,,,,AnkiLangs::LA
seventy (70),,,,,AnkiLangs::LA
seventy-one (71),,,,,AnkiLangs::LA
seventy-two (72),,,,,AnkiLangs::LA
eighty (80),,,,,AnkiLangs::LA
eighty-one (81),,,,,AnkiLangs::LA
eighty-two (82),,,,,AnkiLangs::LA
ninety (90),,,,,AnkiLangs::LA
ninety-one (91),,,,,AnkiLangs::LA
ninety-two (92),,,,,AnkiLangs::LA
one hundred (100),,,,,AnkiLangs::LA
one hundred one (101),,,,,AnkiLangs::LA
one hundred two (102),,,,,AnkiLangs::LA
one hundred ten (110),,,,,AnkiLangs::LA
one hundred eleven (111),,,,,AnkiLangs::LA
one thousand (1000),,,,,AnkiLangs::LA
one thousand one (1001),,,,,AnkiLangs::LA
"ten thousand (10,000)",,,,,AnkiLangs::LA
"one hundred thousand (100,000)",,,,,AnkiLangs::LA
"one million (1,000,000)",,,,,AnkiLangs::LA
"one billion (1,000,000,000)",,,,,AnkiLangs::LA
first (1st),,,,,AnkiLangs::LA
second (2nd),,,,,AnkiLangs::LA
third (3rd),,,,,AnkiLangs::LA
fourth (4th),,,,,AnkiLangs::LA
fifth (5th),,,,,AnkiLangs::LA
the number,,,,,AnkiLangs::LA
January,,,,,AnkiLangs::LA
February,,,,,AnkiLangs::LA
March,,,,,AnkiLangs::LA
April,,,,,AnkiLangs::LA
May,,,,,AnkiLangs::LA
June,,,,,AnkiLangs::LA
July,,,,,AnkiLangs::LA
August,,,,,AnkiLangs::LA
September,,,,,AnkiLangs::LA
October,,,,,AnkiLangs::LA
November,,,,,AnkiLangs::LA
December,,,,,AnkiLangs::LA
Monday,,,,,AnkiLangs::LA
Tuesday,,,,,AnkiLangs::LA
Wednesday,,,,,AnkiLangs::LA
Thursday,,,,,AnkiLangs::LA
Friday,,,,,AnkiLangs::LA
Saturday,,,,,AnkiLangs::LA
Sunday,,,,,AnkiLangs::LA
the year,,,,,AnkiLangs::LA
the month,,,,,AnkiLangs::LA
the week,,,,,AnkiLangs::LA
the day,,,,,AnkiLangs::LA
the hour,,,,,AnkiLangs::LA
the minute,,,,,AnkiLangs::LA
the second,,,,,AnkiLangs::LA
the morning,,,,,AnkiLangs::LA
the afternoon,,,,,AnkiLangs::LA
the evening,,,,,AnkiLangs::LA
the night,,,,,AnkiLangs::LA
the time,,,,,AnkiLangs::LA
to work,,,,,AnkiLangs::LA
to play,,,,,AnkiLangs::LA
to walk,,,,,AnkiLangs::LA
to run,,,,,AnkiLangs::LA
to drive,,,,,AnkiLangs::LA
to fly,,,,,AnkiLangs::LA
to swim,,,,,AnkiLangs::LA
to go,,,,,AnkiLangs::LA
to stop,,,,,AnkiLangs::LA
to follow,,,,,AnkiLangs::LA
to think,,,,,AnkiLangs::LA
to speak / to say,,,,,AnkiLangs::LA
to eat,,,,,AnkiLangs::LA
to drink,,,,,AnkiLangs::LA
to kill,,,,,AnkiLangs::LA
to die,,,,,AnkiLangs::LA
to smile,,,,,AnkiLangs::LA
to laugh,,,,,AnkiLangs::LA
to cry,,,,,AnkiLangs::LA
to buy,,,,,AnkiLangs::LA
to pay,,,,,AnkiLangs::LA
to sell,,,,,AnkiLangs::LA
to shoot (a gun),,,,,AnkiLangs::LA
to learn,,,,,AnkiLangs::LA
to jump,,,,,AnkiLangs::LA
to smell,,,,,AnkiLangs::LA
to hear,,,,,AnkiLangs::LA
to listen,,,,,AnkiLangs::LA
to taste,,,,,AnkiLangs::LA
to touch,,,,,AnkiLangs::LA
to see,,,,,AnkiLangs::LA
to watch,,,,,AnkiLangs::LA
to kiss,,,,,AnkiLangs::LA
to burn,,,,,AnkiLangs::LA
to melt,,,,,AnkiLangs::LA
to dig,,,,,AnkiLangs::LA
to explode,,,,,AnkiLangs::LA
to sit,,,,,AnkiLangs::LA
to stand,,,,,AnkiLangs::LA
to love,,,,,AnkiLangs::LA
to pass by,,,,,AnkiLangs::LA
to cut,,,,,AnkiLangs::LA
to fight,,,,,AnkiLangs::LA
to lie down,,,,,AnkiLangs::LA
to dance,,,,,AnkiLangs::LA
to sleep,,,,,AnkiLangs::LA
to wake up,,,,,AnkiLangs::LA
to sing,,,,,AnkiLangs::LA
to count,,,,,AnkiLangs::LA
to marry,,,,,AnkiLangs::LA
to pray,,,,,AnkiLangs::LA
to win,,,,,AnkiLangs::LA
to lose,,,,,AnkiLangs::LA
to mix / to stir,,,,,AnkiLangs::LA
to bend,,,,,AnkiLangs::LA
to wash,,,,,AnkiLangs::LA
to cook,,,,,AnkiLangs::LA
to open,,,,,AnkiLangs::LA
to close,,,,,AnkiLangs::LA
to write,,,,,AnkiLangs::LA
to call,,,,,AnkiLangs::LA
to turn,,,,,AnkiLangs::LA
to build,,,,,AnkiLangs::LA
to teach,,,,,AnkiLangs::LA
to grow,,,,,AnkiLangs::LA
to draw,,,,,AnkiLangs::LA
to feed,,,,,AnkiLangs::LA
to catch,,,,,AnkiLangs::LA
to throw,,,,,AnkiLangs::LA
to clean,,,,,AnkiLangs::LA
to find,,,,,AnkiLangs::LA
to fall,,,,,AnkiLangs::LA
to push,,,,,AnkiLangs::LA
to pull,,,,,AnkiLangs::LA
to carry,,,,,AnkiLangs::LA
to break,,,,,AnkiLangs::LA
to wear,,,,,AnkiLangs::LA
to hang,,,,,AnkiLangs::LA
to shake,,,,,AnkiLangs::LA
to sign,,,,,AnkiLangs::LA
to beat,,,,,AnkiLangs::LA
to lift,,,,,AnkiLangs::LA
long,,,,,AnkiLangs::LA
"short [opposite of ""long""]",,,,,AnkiLangs::LA
tall,,,,,AnkiLangs::LA
"short [opposite of ""tall""]",,,,,AnkiLangs::LA
wide,,,,,AnkiLangs::LA
narrow,,,,,AnkiLangs::LA
big / large,,,,,AnkiLangs::LA
small / little,,,,,AnkiLangs::LA
slow,,,,,AnkiLangs::LA
fast,,,,,AnkiLangs::LA
hot,,,,,AnkiLangs::LA
cold,,,,,AnkiLangs::LA
warm,,,,,AnkiLangs::LA
cool,,,,,AnkiLangs::LA
new,,,,,AnkiLangs::LA
"old [opposite of ""new""]",,,,,AnkiLangs::LA
young,,,,,AnkiLangs::LA
"old [opposite of ""young""]",,,,,AnkiLangs::LA
good,,,,,AnkiLangs::LA
bad,,,,,AnkiLangs::LA
wet,,,,,AnkiLangs::LA
dry,,,,,AnkiLangs::LA
sick,,,,,AnkiLangs::LA
healthy,,,,,AnkiLangs::LA
loud,,,,,AnkiLangs::LA
quiet,,,,,AnkiLangs::LA
happy,,,,,AnkiLangs::LA
sad,,,,,AnkiLangs::LA
beautiful,,,,,AnkiLangs::LA
ugly,,,,,AnkiLangs::LA
deaf,,,,,AnkiLangs::LA
blind,,,,,AnkiLangs::LA
nice,,,,,AnkiLangs::LA
mean,,,,,AnkiLangs::LA
rich,,,,,AnkiLangs::LA
poor,,,,,AnkiLangs::LA
thick,,,,,AnkiLangs::LA
thin,,,,,AnkiLangs::LA
expensive,,,,,AnkiLangs::LA
