key,source
"ten thousand (10,000)",Audio:<br>Google Cloud TTS<br>Voice: Achird
the (train) ticket,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the actor,Audio:<br>Google Cloud TTS<br>Voice: Achird
the adjective,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the adult,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the afternoon,Audio:<br>Google Cloud TTS<br>Voice: Achird
the air,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the airport,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the animal,Audio:<br>Google Cloud TTS<br>Voice: Achird
the apartment,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the apple,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the arm,Audio:<br>Google Cloud TTS<br>Voice: Achird
the army,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the artist,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the attack,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the author,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the baby,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the back [anatomy],Audio:<br>Google Cloud TTS<br>Voice: Achird
the back [location],Audio:<br>Google Cloud TTS<br>Voice: Achernar
the bag,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the ball,Audio:<br>Google Cloud TTS<br>Voice: Achird
the banana,Audio:<br>Google Cloud TTS<br>Voice: Achird
the band [music],Audio:<br>Google Cloud TTS<br>Voice: Achernar
the bank,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the bar,Audio:<br>Google Cloud TTS<br>Voice: Achird
the bathroom,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the beach,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the beard,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the bed,Audio:<br>Google Cloud TTS<br>Voice: Achird
the bedroom,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the beef,Audio:<br>Google Cloud TTS<br>Voice: Aoede
the beverage,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the bicycle,Audio:<br>Google Cloud TTS<br>Voice: Achird
the bill [bank note],Audio:<br>Google Cloud TTS<br>Voice: Aoede
the bird,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the boat,Audio:<br>Google Cloud TTS<br>Voice: Achird
the body,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the bone,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the book,Audio:<br>Google Cloud TTS<br>Voice: Aoede
the bottle,Audio:<br>Google Cloud TTS<br>Voice: Achird
the bottom,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the box,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the boy,Audio:<br>Google Cloud TTS<br>Voice: Achird
the brain,Audio:<br>Google Cloud TTS<br>Voice: Achird
the bread,Audio:<br>Google Cloud TTS<br>Voice: Achird
the bridge,Audio:<br>Google Cloud TTS<br>Voice: Achird
the brother,Audio:<br>Google Cloud TTS<br>Voice: Achird
the building,Audio:<br>Google Cloud TTS<br>Voice: Achird
the bus,Audio:<br>Google Cloud TTS<br>Voice: Achird
the cake,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the camera,Audio:<br>Google Cloud TTS<br>Voice: Achird
the camp,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the car,"Picture:<br><a href=""https://pixabay.com/photos/car-engine-wheels-vintage-car-7275386/"">https://pixabay.com/photos/car-engine-wheels-vintage-car-7275386/</a><br><br>Audio:<br>Google Cloud TTS<br>Voice: Achird"
the card,Audio:<br>Google Cloud TTS<br>Voice: Aoede
the cat,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the ceiling,Audio:<br>Google Cloud TTS<br>Voice: Achird
the cell phone,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the centimeter,Audio:<br>Google Cloud TTS<br>Voice: Achird
the chair,Audio:<br>Google Cloud TTS<br>Voice: Aoede
the cheese,Audio:<br>Google Cloud TTS<br>Voice: Achird
the chicken,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the child,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the church,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the circle,Audio:<br>Google Cloud TTS<br>Voice: Aoede
the city,Audio:<br>Google Cloud TTS<br>Voice: Achernar
the clock,Audio:<br>Google Cloud TTS<br>Voice: Achernar
