source_locale,target_locale,name
sv_se,nl_nl,Nederlandska
sv_se,pt_pt,Portugisiska
sv_se,ru_ru,Ryska
sv_se,sq_al,Albanska
sv_se,sv_se,Svenska
sv_se,ta_in,Tamil
ta_in,ar_xa,Arabic
ta_in,de_de,German
ta_in,en_us,English
ta_in,es_es,Spanish
ta_in,fa_ir,Farsi
ta_in,fr_fr,French
ta_in,hi_in,Hindi
ta_in,it_it,Italian
ta_in,kn_in,Kannada
ta_in,la_la,Latin
ta_in,mr_in,Marathi
ta_in,nb_no,Norwegian
ta_in,nl_nl,Dutch
ta_in,pt_pt,Portuguese
ta_in,ru_ru,Russian
ta_in,sq_al,Albanian
ta_in,sv_se,Swedish
ta_in,ta_in,Tamil
